name,fac_profile_url,fac_profile_num_hits,fac_profile_matches,fac_profile_snippets,per_site_url,per_site_num_hits,per_site_matches,per_site_snippets,cv_filename,cv_num_hits,cv_matches,cv_snippets,total_hits,summary
Herman Aguinis,https://business.gwu.edu/herman-aguinis,1,data science,"acquisition and deployment of talent in organizations and organizational research methods (i.e., behavioral science and data science). Recent projects address corporate social responsibility and business sustainability, domestic and international workf",https://hermanaguinis.com/,1,data science,"in organizations and research methods, technology, and analytics (i.e., behavioral                         science and data science). He has published 13 books and about 235 journal articles .  						His research has received about 76,000 Google Schol",,0,,,2,"Herman Aguinis's AI work was extracted from fac_profile, per_site.

Summary of fac_profile: Herman Aguinis's work involves the acquisition and deployment of talent in organizations and organizational research methods, including behavioral science and data science. His recent projects focus on corporate social responsibility and business sustainability, both domestically and internationally.

Summary of per_site: Herman Aguinis's research encompasses organizations and research methods, technology, and analytics, specifically behavioral science and data science. He has published 13 books and approximately 235 journal articles, and his research has garnered about 76,000 Google Scholar citations."
Homayoun Khamooshi,https://business.gwu.edu/homayoun-khamooshi,1,prediction,"l of Management in Engineering, Volume 33 Issue 1 - January 2017 Salari M., Khamooshi H., ‘A better project performance prediction model using fuzzy time series and data envelopment analysis’, Journal of Operations Research Society (JORS), vol. 67(10",,0,,,Khamooshi_Homayoun_Faculty_CV_2016.03.28.pdf,2,Algorithm; prediction,"(Sept. 2011)            Refereed Published Journal Papers     Salari M., Khamooshi H., ‘A better proj ect performance prediction model using fuzzy  time series and data envelopment analysis’, J ournal of Operations Research Society  (JORS), 2016, 0 || , UK.          Refereed Published Conference Papers     Khamooshi H., Cioffi Denis, ‘ Analytic Contingency Setting: An Algorithm for Estimating  Contingencies’,  INFORMS 2010 annual confer ence, Austin, Texas.   Cioffi Denis, Khamoos hi H., Kwak Y",3,"Homayoun Khamooshi's AI work was extracted from fac_profile, cv.

Summary of fac_profile: The work involves a project performance prediction model that utilizes fuzzy time series and data envelopment analysis, as published in the Journal of Operations Research Society.

Summary of cv: The work includes the development of a project performance prediction model using fuzzy time series and data envelopment analysis, as well as the presentation of an algorithm for estimating contingencies at the INFORMS 2010 annual conference."
Hossein Askari,,0,,,,0,,,Askari_Hossein_Faculty_CV_-2016.06.21.pdf,1,Ai,"Protection,"" with V. Corbo, Estudios de  Economia , No. 16, Segundo Semestre 1980 -  Primer Semestr e 1981.     ""OPEC's Ai d Performance: An Appraisal,"" SAIS Review , Number 2, 1982.    ""The Gulf: Gold Rush or Economic Development? With J. Cu",1,"Summary of cv: The document mentions Hossein Askari's work related to AI in the context of ""OPEC's Ai d Performance: An Appraisal,"" which was published in the SAIS Review, Number 2, in 1982. The focus appears to be on the appraisal of OPEC's aid performance, though the specific details of the AI-related aspects are not provided in the snippet."
Jackie Ferree,https://business.gwu.edu/jackie-ferree,1,automation,ience utilizing business intelligence and data analytics to support decision-making in conjunction with robotic process automation to drive efficiency and alignment of resources with stated business objectives using practical application teaching tec,,0,,,,0,,,1,"Jackie Ferree's AI work was extracted from fac_profile.

Summary of fac_profile: Jackie Ferree's work involves the use of business intelligence and data analytics to support decision-making. This is done in conjunction with robotic process automation to drive efficiency and align resources with stated business objectives. The work also includes practical application teaching techniques."
Joel Gehman,,0,,,,0,,,Gehman_CV_20220218.pdf,2,Data Science; Neural Network,"Inquiry. 26: 303–325. doi:10.1177/1056492616689303.  17. Dong, C., Dong, X., Gehman, J. & Lefsrud, L.M. 2017. Using BP Neural Networks to Prioritize Risk Management Approaches for China’s Unconventional Shale Gas Industry. Sustainability. 9: 979. doi:10 || The Politics of Data. Moderator: C. Steele. Panelists: W. Espeland, J. Gehman, P.D. Jennings & D. Kirsch. Interpretive Data Science (IDeaS) Workshop, Alberta School of Business, October 25-26, 2019. 119. Eckert, H., Lefsrud, L.M. & Gehman, J. Creative",2,"Joel Gehman's AI work was extracted from cv.

Summary of cv: Joel Gehman has contributed to AI-related work through the application of BP Neural Networks to prioritize risk management approaches in China's unconventional shale gas industry, as detailed in a publication in ""Sustainability"" in 2017. Additionally, he participated as a panelist in ""The Politics of Data"" at the Interpretive Data Science (IDeaS) Workshop held at the Alberta School of Business in 2019."
John Frechette,https://business.gwu.edu/john-frechette,2,AI; artificial intelligence,"asting, and investment strategy. He is also the Co-Founder and CEO of Moara.io, a venture-backed SaaS company that uses artificial intelligence to transform the way scholars and R&D teams conduct academic literature reviews. The platform is used by researchers at || University and a Bachelor of Science in Finance from Bridgewater State University. Areas of Expertise Economic Strategy AI in Research & Innovation Supply Chain Analytics Pricing & Market Analysis Venture Development Publications Auto Supply",,0,,,,0,,,2,"John Frechette's AI work was extracted from fac_profile.

Summary of fac_profile: John Frechette is the Co-Founder and CEO of Moara.io, a venture-backed SaaS company that utilizes artificial intelligence to transform the process of conducting academic literature reviews for scholars and R&D teams. His areas of expertise include AI in Research & Innovation, among others."
Jorge Walter,https://business.gwu.edu/jorge-walter,2,artificial intelligence,"gement Journal . His latest book, “ Reconceptualizing organizational control: Managing in the age of hybrid workplaces, artificial intelligence, and the gig economy, ” is published by Cambridge University Press. Dr. Walter has served as associate editor of the Jo || s Kreutzer, M. & Walter, J. (2025). Reconceptualizing organizational control: Managing in the age of hybrid workplaces, artificial intelligence, and the gig economy . Cambridge University Press. Walter, J., Kreutzer, M., & Kreutzer, K. (2021). Setting the tone fo",http://www.jorgewalter.com/,5,AI; Artificial Intelligence; algorithms,"penhagen, Denmark. Markus Kreutzer and I presented our recent work on “Control-trust dynamics in the context of agentic algorithms” as part of and Chris Long and Simon Schafheitle’s insightful symposium on “Control and Trust Dynamics in the Age of AI || ms” as part of and Chris Long and Simon Schafheitle’s insightful symposium on “Control and Trust Dynamics in the Age of AI and Big Data.” It was also the first time my daughter Sophia accompanied me to an academic conference, and we managed t || . Genesis (2024) 06/15/2025 08/16/2025 Jorge Walter By Henry Kissinger, Craig Mundie, & Eric Schmidt The second book on AI by some of the world’s most renown thinkers on technology and society–and Henry Kissinger’s last book–that offers a num || technology and society–and Henry Kissinger’s last book–that offers a number of insightful reflections on the impact of AI on our human society and beyond. 2025 Glamies High School Theatre Awards 05/28/2025 07/30/2025 Jorge Walter Congratulat || arkus Kreutzer and my new book on “ Reconceptualizing Organizational Control: Managing in the Age of Hybrid Workplaces, Artificial Intelligence, and the Gig Economy ” is now available on the Cambridge University Press website! Difficult Conversations (2023) 10/13",CV_JWalter_January2026.pdf,4,algorithmic; algorithms; artificial intelligence; automation,"Kreutzer, M. & Walter, J. (202 5). Reconceptualizing organizational control: Managing in the age of hybrid  workplaces, artificial intelligence, and the gig economy . Cambridge University Press.     Recognized as a finalist for the 2025 European Group for Organiz || nuary 2026 - Page 5 of 19 Non-Refereed Publications     [5] Walter, J. & Kreutzer, M. (202 6). Beyond humans: Exploring algorithmic control in 21st-century organizations.  In: Cardinal, L. B., Kreutzer, M., & Miller, C. C. (eds.). Research handbook on || d Professional Meetings    [44] Kreutzer, M.  & Walter, J.  (2025). Control -trust dynamics in the c ontext of a gentic algorithms . Academy of  Management Annual Meeting, Copenhagen, Denmark.     [43] Kreutzer, M. & Walter, J. (2025). Organizational || nancial planning system for distribution  centers     1997  Siemens Business Services, Munich, Germany   Summer Intern; automation of the reporting system on the basis of MS Excel macros     1996  Member of the student initiative “Marketing zwischen",11,"Jorge Walter's AI work was extracted from fac_profile, per_site, cv.

Summary of fac_profile: Dr. Jorge Walter's work includes a focus on the intersection of artificial intelligence, hybrid workplaces, and the gig economy, as highlighted in his latest book, ""Reconceptualizing Organizational Control: Managing in the Age of Hybrid Workplaces, Artificial Intelligence, and the Gig Economy,"" published by Cambridge University Press.

Summary of per_site: Jorge Walter, along with Markus Kreutzer, presented work on ""Control-trust dynamics in the context of agentic algorithms"" at a symposium on ""Control and Trust Dynamics in the Age of AI and Big Data."" This work explores the dynamics of control and trust in the context of AI, and the book ""Reconceptualizing Organizational Control: Managing in the Age of Hybrid Workplaces, Artificial Intelligence, and the Gig Economy"" is also mentioned.

Summary of cv: Jorge Walter, in collaboration with Markus Kreutzer, has contributed to the understanding of algorithmic control in the context of AI, as seen in the book ""Reconceptualizing Organizational Control: Managing in the Age of Hybrid Workplaces, Artificial Intelligence, and the Gig Economy."" Additionally, the work ""Beyond humans: Exploring algorithmic control in 21st-century organizations"" is noted, and the ""Control-trust dynamics in the context of agentic algorithms"" was presented at the Academy of Management Annual Meeting in Copenhagen, Denmark, in 2025."
Jungho Suh,https://business.gwu.edu/jungho-suh,2,Generative AI,"on Sense Meets Traveler Rights. ” Hotel Business Review (2024, December) “Evidence-Based Hotel Management in the Age of Generative AI.” Link: https://www.hotelexecutive.com/feature_focus/8126/evidence-based-hotel-… Suh, J. (2024, June 27). Harnessing To || via The National Desk (August 2023). Presentations Suh, J. (July 2024). “Evidence-based Entrepreneurship in the Age of Generative AI.” ICSB World Congress 2024, Berlin, Germany. Suh, J. (July 2023). “Relationship Between Jinju City, Capital of K-Entrep",,0,,,,0,,,2,"Jungho Suh's AI work was extracted from fac_profile.

Summary of fac_profile: Jungho Suh has been involved in AI-related work focusing on the application of generative AI in various fields. This includes a publication in the Hotel Business Review titled ""Evidence-Based Hotel Management in the Age of Generative AI,"" which discusses the impact of AI on hotel management. Additionally, Suh has presented on ""Evidence-based Entrepreneurship in the Age of Generative AI"" at the ICSB World Congress 2024 in Berlin, Germany, highlighting the intersection of AI and entrepreneurship."
Li Jiang,https://business.gwu.edu/li-jiang,3,AI; artificial intelligence; prediction,"(ABS4) Kim, T., Jiang, L., Duhachek, A., Lee, H., Garvey, A. (2022). Do You Mind if I Ask You a Personal Question? How AI Service Agents Alter Consumer Self-Disclosure. Journal of Service Research , 25 (4), 649- 666. Coping and Decision Stra || rature by highlighting its inherent malleability, particularly in marketing contexts such as consumer interactions with artificial intelligence service agents, and how consumers respond to data sharing requests from mobile apps. This underscores the importance of || and balancing strategies, as well as real-world financial outcomes and online reviewing behavior. The PFM scale enables prediction of which market segments are most susceptible to decision contexts. This scale, a valuable toolkit for researchers in t",https://lijiangucla.weebly.com/,2,AI; artificial intelligence,"rature by highlighting its inherent malleability, particularly in marketing contexts such as consumer interactions with artificial intelligence service agents, and how consumers respond to data sharing requests from mobile apps. This underscores the importance of || (ABS4) Kim, T., Jiang, L., Duhachek, A., Lee, H., Garvey, A. (2022). Do You Mind if I Ask You a Personal Question? How AI Service Agents Alter Consumer Self-Disclosure. Journal of Service Research , 25 (4), 649- 666. Coping and Decision Stra",,0,,,5,"Li Jiang's AI work was extracted from fac_profile, per_site.

Summary of fac_profile: Li Jiang's work involves exploring the role of artificial intelligence in consumer interactions, particularly focusing on how AI service agents influence consumer self-disclosure and decision-making. The research highlights the adaptability of AI in marketing contexts and its impact on consumer behavior, especially in response to data sharing requests from mobile applications.

Summary of per_site: Li Jiang's research examines the influence of artificial intelligence service agents on consumer self-disclosure, emphasizing the significance of AI in marketing and consumer interactions. The study underscores the importance of understanding consumer responses to AI, particularly in the context of data sharing and privacy."
Long He,https://business.gwu.edu/long-he,3,Machine Learning; machine learning,"s B.Eng. in Logistics Management and Engineering from HKUST. His current research combines data-driven optimization and machine learning to address practical problems in smart city operations (e.g., shared mobility, last-mile delivery, and urban policing), || ience & Logistics (TSL) Best Paper Award, INFORMS, 2019 M&SOM Journal Best Paper Award, INFORMS, 2019 Teaching DNSC6314 Machine Learning I DNSC6315 Machine Learning II DNSC4282/6280 Supply Chain Analytics DNSC6307 Optimization I DNSC6308 Optimization II || Paper Award, INFORMS, 2019 M&SOM Journal Best Paper Award, INFORMS, 2019 Teaching DNSC6314 Machine Learning I DNSC6315 Machine Learning II DNSC4282/6280 Supply Chain Analytics DNSC6307 Optimization I DNSC6308 Optimization II",https://long-he.github.io/,3,AI; Machine Learning; Reinforcement Learning,"g from The Hong Kong University of Science and Technology. My current research combines data-driven optimization and ML/AI to address practical problems in smart city operations (e.g., shared mobility, last-mile delivery, and urban policing), || rations Research, INFORMS, 2025 Accepted at NeurIPS 2025 MLxOR Workshop “ Dispatch or Hold? An Inverse Optimization and Reinforcement Learning Approach for Multi-Objective On-Demand Delivery .” (with Yihua Wang, Zhengling Qi, and Stefan Minner). Under Revision i || .), in Springer Series in Supply Chain Management , C. Tang (Series Ed.) Teaching GWU Supply Chain Analytics (BBA/MSBA) Machine Learning I/II (MSBA) Optimization I/II (MSBA) NUS Introduction to Optimization (BBA) Predictive Analytics in Business (BBA) Fore",,0,,,6,"Long He's AI work was extracted from fac_profile, per_site.

Summary of fac_profile: Long He holds a B.Eng. in Logistics Management and Engineering from HKUST. His research focuses on integrating data-driven optimization and machine learning to solve practical issues in smart city operations, such as shared mobility, last-mile delivery, and urban policing. He has received recognition, including the Transportation Science & Logistics (TSL) Best Paper Award and the M&SOM Journal Best Paper Award from INFORMS in 2019. He teaches courses such as Machine Learning I and II, Supply Chain Analytics, and Optimization I and II.

Summary of per_site: Long He, with a background from The Hong Kong University of Science and Technology, engages in research that merges data-driven optimization and machine learning/artificial intelligence to tackle practical challenges in smart city operations, including shared mobility, last-mile delivery, and urban policing. His work, including a paper titled ""Dispatch or Hold? An Inverse Optimization and Reinforcement Learning Approach for Multi-Objective On-Demand Delivery,"" has been accepted at the NeurIPS 2025 MLxOR Workshop and is under revision. He teaches courses in Supply Chain Analytics, Machine Learning, and Optimization, and has contributed to the Springer Series in Supply Chain Management."
Marie Matta,https://business.gwu.edu/marie-matta,2,Algorithm; Algorithms,"atics, Economics, and Policy Management Studies (Triple Major), Dickinson College Publications Matta, Marie, “A Genetic Algorithm for the Proportionate Multiprocessor Open Shop,” Computers and Operations Research , September 2009, Vol. 36, No. 9, pp || perations Research , September 2009, Vol. 36, No. 9, pp. 2601-2618 Matta, Marie and Elmaghraby, Salah, “Polynomial Time Algorithms for Two Special Classes of the Proportionate Multi-Processor Open Shop,” European Journal of Operational Research , 16",,0,,,,0,,,2,"Marie Matta's AI work was extracted from fac_profile.

Summary of fac_profile: Marie Matta has contributed to the field of AI through her work on algorithms. She co-authored a publication titled “A Genetic Algorithm for the Proportionate Multiprocessor Open Shop,” which appeared in the journal Computers and Operations Research in September 2009. Additionally, she collaborated with Salah Elmaghraby on a paper titled “Polynomial Time Algorithms for Two Special Classes of the Proportionate Multi-Processor Open Shop,” published in the European Journal of Operational Research."
Michael Tadesse,https://business.gwu.edu/michael-tadesse,7,AI; algorithms,"chnology, psychology, and strategy converge to shape the future of marketing and commerce. He teaches courses including AI Application in Marketing Strategy, Consumer Neuroscience and Persuasion, Digital Marketing in the Age of AI, and Contem || s including AI Application in Marketing Strategy, Consumer Neuroscience and Persuasion, Digital Marketing in the Age of AI, and Contemporary Marketing, blending theory with live, applied projects. His classes operate as innovation labs, where || local businesses to tackle real-world marketing challenges. Rather than relying solely on case studies, students design AI-powered prototypes, debate emerging ideas, and develop vision-driven products that address real market needs. They are || al consumer-facing brands. An entrepreneur at heart, he has founded ventures in food technology, health technology, and AI-first consulting, helping small and mid-sized businesses understand how to be discovered and trusted in the age of inte || rategy, customer loyalty, digital transformation, hyper-personalization, and consumer psychology. Select Courses Taught AI Application in Marketing Strategy: How hyper-personalization and predictive algorithms are redefining discovery, attrib",,0,,,,0,,,7,"Michael Tadesse's AI work was extracted from fac_profile.

Summary of fac_profile: Michael Tadesse's work focuses on the intersection of technology, psychology, and strategy in marketing and commerce. He teaches courses such as AI Application in Marketing Strategy, Consumer Neuroscience and Persuasion, and Digital Marketing in the Age of AI. His classes emphasize practical application, where students engage in live projects, design AI-powered prototypes, and develop products addressing real market needs. Tadesse, an entrepreneur, has founded ventures in AI-first consulting, aiding businesses in digital transformation and hyper-personalization."
Miguel Lejeune,https://business.gwu.edu/miguel-lejeune,8,Algorithm; Algorithms; algorithms,"rom the National Science Foundation (NSF): AMPS: Risk-Averse Optimization for Stressed Power Grids: Models, Theory, and Algorithms (2024–2027). Collaborative Research: A Risk-based Real-Options Approach for Infrastructure Systems Protection Investmen || Constraints. Operations Research 57 (3), 650-670, 2009. With P. Bonami. Preprocessing Techniques and Column Generation Algorithms for Stochastically Efficient Demand Trajectories. Journal of the Operational Research Society 59, 1239-1252, 2008. Show || ain Management. Journal of Operations Management 23 (1), 81-100, 2005. With N. Yakova. A Coordinate-Columnwise Exchange Algorithm for the Construction of Supersaturated, Saturated and Non-Saturated Designs. American Journal of Mathematical and Manag || book of Financial Econometrics and Statistics. Eds: C.-F. Lee, J. Lee. Springer, 2013. A Coordinate-Columnwise Exchange Algorithm for the Construction of Supersaturated, Saturated and Non-Saturated Designs. 2004. In: Modern Mathematical, Management, || d the mathematical structure of optimization problems, design computationally efficient model formulations and scalable algorithms, and provide scientific solutions to societal and industry problems. ” Dean’s Best Senior Faculty Research Award . Geor",,0,,,,0,,,8,"Miguel Lejeune's AI work was extracted from fac_profile.

Summary of fac_profile: Miguel Lejeune's work involves the development of algorithms for various applications, including risk-averse optimization for stressed power grids, preprocessing techniques, and column generation algorithms for demand trajectories. His research also covers the construction of designs using coordinate-columnwise exchange algorithms. Lejeune's work is recognized for its contribution to solving optimization problems and providing solutions to societal and industry challenges."
